NACA 2412                                       
 Alfa =   2.00000 Re =    40000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   0.00645  0.01445  0.19021
   0.00576  0.01365  0.23422
   0.00511  0.01285  0.27851
   0.00450  0.01205  0.32433
   0.00393  0.01126  0.37368
   0.00340  0.01047  0.42394
   0.00291  0.00968  0.47434
   0.00246  0.00889  0.52664
   0.00205  0.00811  0.57658
   0.00167  0.00733  0.62950
   0.00134  0.00655  0.68276
   0.00104  0.00577  0.73407
   0.00078  0.00500  0.78144
   0.00056  0.00423  0.82484
   0.00038  0.00347  0.86736
   0.00023  0.00271  0.90367
   0.00012  0.00196  0.93576
   0.00005  0.00122  0.96112
   0.00001  0.00050  0.98068
   0.00000 -0.00023  0.99272
   0.00003 -0.00095  0.99920
   0.00009 -0.00168  0.99829
   0.00019 -0.00242  0.99047
   0.00033 -0.00317  0.97559
   0.00051 -0.00392  0.95053
   0.00072 -0.00467  0.92247
   0.00098 -0.00542  0.88515
   0.00129 -0.00617  0.84263
   0.00163 -0.00691  0.79643
   0.00202 -0.00765  0.74679
   0.00245 -0.00839  0.69435
   0.00293 -0.00912  0.63780
   0.00344 -0.00985  0.58353
   0.00400 -0.01056  0.52971
   0.00460 -0.01127  0.47704
   0.00524 -0.01198  0.42493
   0.00593 -0.01267  0.37380
   0.00665 -0.01336  0.32769
   0.00742 -0.01404  0.28110
   0.00824 -0.01472  0.23874
   0.00910 -0.01539  0.19886
   0.01000 -0.01605  0.16072
   0.01095 -0.01671  0.12352
   0.01195 -0.01736  0.09209
   0.01299 -0.01801  0.06052
   0.01409 -0.01866  0.03052
   0.01525 -0.01930  0.00501
   0.01646 -0.01994 -0.02153
   0.01773 -0.02058 -0.04376
   0.01906 -0.02122 -0.06524
   0.02046 -0.02185 -0.08554
   0.02194 -0.02249 -0.10361
   0.02348 -0.02313 -0.12112
   0.02511 -0.02377 -0.13720
   0.02683 -0.02441 -0.15216
   0.02864 -0.02505 -0.16469
   0.03055 -0.02570 -0.17745
   0.03256 -0.02634 -0.18788
   0.03469 -0.02699 -0.19912
   0.03694 -0.02764 -0.20803
   0.03932 -0.02830 -0.21672
   0.04185 -0.02895 -0.22474
   0.04452 -0.02961 -0.23116
   0.04735 -0.03027 -0.23774
   0.05035 -0.03093 -0.24316
   0.05352 -0.03159 -0.24770
   0.05688 -0.03225 -0.25157
   0.06043 -0.03290 -0.25531
   0.06417 -0.03355 -0.25756
   0.06812 -0.03419 -0.25986
   0.07226 -0.03481 -0.26125
   0.07659 -0.03542 -0.26226
   0.08112 -0.03602 -0.26254
   0.08583 -0.03659 -0.26225
   0.09071 -0.03714 -0.26188
   0.09576 -0.03767 -0.26110
   0.10096 -0.03817 -0.25956
   0.10630 -0.03864 -0.25800
   0.11177 -0.03908 -0.25632
   0.11735 -0.03950 -0.25397
   0.12303 -0.03988 -0.25163
   0.12880 -0.04024 -0.24912
   0.13466 -0.04056 -0.24640
   0.14059 -0.04086 -0.24351
   0.14659 -0.04113 -0.24055
   0.15264 -0.04137 -0.23745
   0.15875 -0.04158 -0.23438
   0.16491 -0.04177 -0.23119
   0.17111 -0.04193 -0.22796
   0.17734 -0.04206 -0.22478
   0.18362 -0.04218 -0.22146
   0.18993 -0.04227 -0.21820
   0.19626 -0.04234 -0.21486
   0.20263 -0.04239 -0.21161
   0.20902 -0.04243 -0.20824
   0.21544 -0.04244 -0.20506
   0.22187 -0.04243 -0.20177
   0.22833 -0.04241 -0.19869
   0.23481 -0.04237 -0.19548
   0.24131 -0.04232 -0.19227
   0.24782 -0.04225 -0.18912
   0.25435 -0.04217 -0.18616
   0.26090 -0.04207 -0.18305
   0.26746 -0.04196 -0.18013
   0.27404 -0.04184 -0.17718
   0.28063 -0.04171 -0.17435
   0.28723 -0.04157 -0.17155
   0.29384 -0.04142 -0.16875
   0.30047 -0.04126 -0.16610
   0.30711 -0.04108 -0.16348
   0.31375 -0.04090 -0.16091
   0.32041 -0.04072 -0.15841
   0.32708 -0.04052 -0.15600
   0.33375 -0.04032 -0.15364
   0.34044 -0.04011 -0.15142
   0.34713 -0.03989 -0.14916
   0.35383 -0.03967 -0.14715
   0.36054 -0.03944 -0.14512
   0.36725 -0.03921 -0.14316
   0.37396 -0.03898 -0.14135
   0.38068 -0.03874 -0.13961
   0.38739 -0.03849 -0.13803
   0.39411 -0.03825 -0.13656
   0.40081 -0.03800 -0.13524
   0.40750 -0.03775 -0.13386
   0.41419 -0.03748 -0.13259
   0.42087 -0.03721 -0.13124
   0.42755 -0.03693 -0.12996
   0.43423 -0.03665 -0.12858
   0.44091 -0.03636 -0.12728
   0.44759 -0.03606 -0.12591
