NACA 8204                                       
 Alfa = -10.00000 Re =     4000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   0.15438  0.09380  0.03729
   0.14945  0.09269  0.07379
   0.14454  0.09147  0.10590
   0.13965  0.09016  0.14889
   0.13478  0.08875  0.18028
   0.12994  0.08724  0.23208
   0.12512  0.08564  0.26467
   0.12033  0.08395  0.31190
   0.11557  0.08216  0.35508
   0.11084  0.08029  0.40084
   0.10614  0.07832  0.44410
   0.10147  0.07628  0.49329
   0.09684  0.07414  0.53143
   0.09223  0.07193  0.58336
   0.08767  0.06963  0.62660
   0.08314  0.06726  0.67007
   0.07864  0.06481  0.71317
   0.07419  0.06228  0.75500
   0.06977  0.05968  0.79545
   0.06539  0.05701  0.83394
   0.06105  0.05427  0.87021
   0.05676  0.05146  0.90437
   0.05250  0.04859  0.93404
   0.04829  0.04565  0.96066
   0.04413  0.04264  0.98110
   0.04002  0.03957  0.99518
   0.03595  0.03644  0.99998
   0.03194  0.03325  0.99252
   0.02799  0.03000  0.96762
   0.02410  0.02669  0.91734
   0.02029  0.02332  0.82857
   0.01656  0.01991  0.67744
   0.01295  0.01645  0.41758
   0.00951  0.01297 -0.04716
   0.00634  0.00956 -0.93822
   0.00376  0.00653 -2.70047
   0.00207  0.00429 -5.84933
   0.00109  0.00280-10.77048
   0.00051  0.00174-18.47343
   0.00018  0.00093-31.35129
   0.00002  0.00026-54.50132
   0.00003 -0.00031*********
   0.00032 -0.00080*********
   0.00089 -0.00104*********
   0.00164 -0.00106*********
   0.00259 -0.00090*********
   0.00390 -0.00052*********
   0.00584  0.00022*********
   0.00886  0.00157*********
   0.01289  0.00357*********
   0.01737  0.00592*********
   0.02201  0.00842*********
   0.02671  0.01096*********
   0.03140  0.01348*********
   0.03607  0.01597*********
   0.04073  0.01842*********
   0.04540  0.02083*********
   0.05007  0.02319*********
   0.05475  0.02549*********
   0.05945  0.02775*********
   0.06416  0.02995*********
   0.06889  0.03209*********
   0.07364  0.03417*********
   0.07841  0.03618*********
   0.08319  0.03814*********
   0.08800  0.04002*********
   0.09282  0.04184*********
   0.09767  0.04358*********
   0.10253  0.04525*********
   0.10742  0.04685*********
   0.11232  0.04836*********
   0.11724  0.04980*********
   0.12218  0.05116*********
   0.12713  0.05244*********
   0.13211  0.05363*********
   0.13709  0.05474*********
   0.14210  0.05576*********
   0.14711  0.05669*********
   0.15214  0.05753*********
   0.15718  0.05828*********
   0.16222  0.05894*********
   0.16728  0.05951*********
   0.17234  0.05998*********
   0.17742  0.06036*********
   0.18249  0.06064*********
   0.18757  0.06082*********
   0.19265  0.06092*********
   0.19772  0.06091*********
   0.20296  0.06082*********
   0.20832  0.06071*********
   0.21369  0.06061*********
   0.21906  0.06051*********
   0.22443  0.06040*********
   0.22981  0.06029*********
   0.23518  0.06019*********
   0.24055  0.06008*********
   0.24592  0.05997*********
   0.25129  0.05986*********
   0.25666  0.05974*********
   0.26203  0.05963*********
   0.26740  0.05951*********
   0.27277  0.05939*********
   0.27813  0.05927*********
   0.28350  0.05914*********
   0.28887  0.05902*********
   0.29424  0.05889*********
   0.29960  0.05875*********
   0.30497  0.05862*********
   0.31033  0.05848*********
   0.31570  0.05834*********
   0.32106  0.05820*********
   0.32643  0.05805*********
   0.33179  0.05790*********
   0.33716  0.05774*********
   0.34252  0.05758*********
   0.34788  0.05742*********
   0.35325  0.05726*********
   0.35861  0.05709*********
   0.36397  0.05692*********
   0.36933  0.05674*********
   0.37470  0.05656*********
   0.38006  0.05638*********
   0.38542  0.05619*********
   0.39078  0.05600*********
   0.39614  0.05580*********
   0.40150  0.05560*********
   0.40686  0.05540*********
   0.41222  0.05519*********
   0.41758  0.05497*********
