#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.48670  0.51862  0.07095  1.12495  0.016582  0.002631 -0.000716     6.302
   0.49324  0.51210  0.07146  1.12583  0.016043  0.002616 -0.000729     6.132
   0.49977  0.50558  0.07197  1.12677  0.015516  0.002601 -0.000742     5.966
   0.50630  0.49907  0.07245  1.12778  0.014998  0.002584 -0.000755     5.803
   0.51283  0.49256  0.07293  1.12886  0.014491  0.002567 -0.000767     5.644
   0.51935  0.48605  0.07339  1.13001  0.013996  0.002550 -0.000776     5.489
   0.52587  0.47955  0.07383  1.13124  0.013513  0.002531 -0.000782     5.339
   0.53239  0.47305  0.07426  1.13256  0.013041  0.002512 -0.000785     5.192
   0.53890  0.46655  0.07468  1.13396  0.012581  0.002492 -0.000784     5.049
   0.54540  0.46006  0.07508  1.13546  0.012134  0.002471 -0.000775     4.911
   0.55190  0.45357  0.07546  1.13706  0.011697  0.002449 -0.000757     4.776
   0.55839  0.44709  0.07583  1.13875  0.011274  0.002426 -0.000727     4.646
   0.56488  0.44062  0.07619  1.14055  0.010861  0.002403 -0.000683     4.520
   0.57135  0.43415  0.07652  1.14244  0.010461  0.002379 -0.000623     4.397
   0.57782  0.42768  0.07684  1.14444  0.010075  0.002354 -0.000546     4.279
   0.58428  0.42123  0.07715  1.14652  0.009701  0.002329 -0.000449     4.165
   0.59073  0.41479  0.07743  1.14868  0.009337  0.002303 -0.000329     4.053
   0.59716  0.40836  0.07770  1.15095  0.008988  0.002277 -0.000189     3.947
   0.60358  0.40195  0.07796  1.15332  0.008648  0.002250 -0.000023     3.844
   0.60998  0.39556  0.07819  1.15581  0.008322  0.002222  0.000166     3.746
   0.61635  0.38919  0.07840  1.15840  0.008013  0.002193  0.000373     3.654
   0.62271  0.38283  0.07859  1.16110  0.007720  0.002163  0.000599     3.569
   0.62906  0.37649  0.07875  1.16390  0.007443  0.002133  0.000840     3.490
   0.63539  0.37015  0.07889  1.16678  0.007181  0.002102  0.001096     3.416
   0.64172  0.36383  0.07900  1.16973  0.006934  0.002071  0.001364     3.348
   0.64803  0.35752  0.07910  1.17273  0.006704  0.002040  0.001636     3.287
   0.65433  0.35121  0.07916  1.17580  0.006480  0.002008  0.001930     3.228
   0.66063  0.34492  0.07921  1.17886  0.006276  0.001976  0.002216     3.176
   0.66692  0.33863  0.07922  1.18196  0.006078  0.001944  0.002517     3.126
   0.67320  0.33235  0.07922  1.18503  0.005895  0.001913  0.002817     3.082
   0.67947  0.32608  0.07918  1.18811  0.005718  0.001881  0.003129     3.039
   0.68573  0.31982  0.07913  1.19114  0.005553  0.001850  0.003435     3.001
   0.69198  0.31357  0.07904  1.19415  0.005395  0.001819  0.003748     2.966
   0.69823  0.30732  0.07893  1.19709  0.005247  0.001789  0.004057     2.934
   0.70446  0.30109  0.07879  1.19998  0.005106  0.001758  0.004369     2.903
   0.71069  0.29487  0.07863  1.20280  0.004971  0.001729  0.004681     2.876
   0.71690  0.28866  0.07844  1.20554  0.004843  0.001699  0.004990     2.850
   0.72311  0.28245  0.07822  1.20820  0.004722  0.001670  0.005297     2.827
   0.72930  0.27626  0.07797  1.21084  0.004601  0.001642  0.005627     2.803
   0.73549  0.27009  0.07770  1.21326  0.004494  0.001614  0.005912     2.785
   0.74166  0.26392  0.07740  1.21573  0.004382  0.001586  0.006243     2.764
   0.74782  0.25777  0.07706  1.21801  0.004280  0.001558  0.006546     2.747
   0.75397  0.25163  0.07670  1.22022  0.004181  0.001531  0.006852     2.731
   0.76011  0.24550  0.07631  1.22238  0.004082  0.001504  0.007180     2.714
   0.76623  0.23940  0.07589  1.22438  0.003989  0.001478  0.007489     2.700
   0.77234  0.23330  0.07544  1.22624  0.003901  0.001452  0.007782     2.688
   0.77843  0.22723  0.07495  1.22813  0.003809  0.001425  0.008128     2.673
   0.78451  0.22117  0.07444  1.22978  0.003726  0.001400  0.008430     2.662
   0.79058  0.21513  0.07389  1.23138  0.003642  0.001374  0.008753     2.651
   0.79662  0.20911  0.07332  1.23284  0.003561  0.001349  0.009071     2.640
   0.80265  0.20311  0.07271  1.23423  0.003481  0.001323  0.009406     2.630
   0.80866  0.19714  0.07206  1.23551  0.003402  0.001298  0.009748     2.620
   0.81465  0.19119  0.07139  1.23658  0.003328  0.001274  0.010059     2.613
   0.82062  0.18526  0.07068  1.23768  0.003249  0.001249  0.010438     2.602
   0.82656  0.17936  0.06993  1.23850  0.003178  0.001224  0.010758     2.596
